gene.length,n
2490.3,30
2731.733333333333,30
2380.266666666667,30
2203.733333333333,30
2522.9,30
2061.866666666667,30
2618.5,30
2551.1666666666665,30
1811.7,30
2986.866666666667,30
3195.3333333333335,30
2692.8333333333335,30
2658.0666666666666,30
2377.133333333333,30
2573.2,30
5889.033333333334,30
2494.1,30
1820.4333333333334,30
2399.9666666666667,30
2734.5666666666666,30
2622.233333333333,30
2611.133333333333,30
2722.5333333333333,30
3296.0666666666666,30
3425.4666666666667,30
3871.6,30
2736.1666666666665,30
3039.133333333333,30
2372.266666666667,30
2411.233333333333,30
2701.0333333333333,30
2395.6666666666665,30
2872.366666666667,30
1873.3,30
3066.0666666666666,30
2581.0666666666666,30
2198.0333333333333,30
2346.366666666667,30
2438.9,30
2804.3,30
2150.0666666666666,30
2591.9333333333334,30
2506.0333333333333,30
2981.0666666666666,30
2705.6666666666665,30
2727.5,30
2858.366666666667,30
2577.633333333333,30
2393.5666666666666,30
3297.233333333333,30
2818.8333333333335,30
2582.5,30
2500.4666666666667,30
2516.6666666666665,30
2434.366666666667,30
2941.0666666666666,30
2757.866666666667,30
2467.4,30
2571.866666666667,30
2090.0333333333333,30
2165.5,30
2138,30
2962.7,30
1811.3,30
2632.8,30
2844,30
3123.0666666666666,30
2870.366666666667,30
2913.6666666666665,30
2839.9,30
2588.5666666666666,30
2144.5,30
3068.366666666667,30
2797.4333333333334,30
2605.0666666666666,30
2628.2,30
2911.4333333333334,30
3211.0333333333333,30
2480.9666666666667,30
2698.5,30
2538.4666666666667,30
2318.266666666667,30
2927.9333333333334,30
2587.7,30
3097.9,30
2223.1,30
3200.0666666666666,30
2831.1666666666665,30
2262.2,30
2607.8333333333335,30
3106,30
2811.5,30
3037.1,30
2563.133333333333,30
2652.5666666666666,30
2832.1,30
2704.1,30
2666.3,30
2220.233333333333,30
2558.866666666667,30
1961.4,30
2458.6666666666665,30
2631.866666666667,30
2207.9666666666667,30
2540.233333333333,30
2258.233333333333,30
2993.766666666667,30
2833.366666666667,30
2211.9666666666667,30
2231.6666666666665,30
1951.9,30
2893.4,30
2739.266666666667,30
2184.7,30
1975.5666666666666,30
2245.1,30
2423.4,30
2964.4333333333334,30
1988.3666666666666,30
2731.5,30
2784.866666666667,30
2280.5,30
2380.9666666666667,30
3376.766666666667,30
2716.4333333333334,30
2662.6666666666665,30
2921.4,30
2288.7,30
2659.733333333333,30
2583.5333333333333,30
2494.233333333333,30
2988.133333333333,30
2873,30
2507.866666666667,30
2341.266666666667,30
2523.9,30
2389.8333333333335,30
2180.5,30
2366.5333333333333,30
2544.4333333333334,30
3127.8,30
2520.1666666666665,30
2403.6666666666665,30
2207.3,30
3172.133333333333,30
2491.366666666667,30
2474.0666666666666,30
2572.2,30
2472.0666666666666,30
2461.366666666667,30
2054.1666666666665,30
2277,30
3093,30
2267.766666666667,30
2644.7,30
2584.9333333333334,30
2520.6666666666665,30
2998.366666666667,30
3010.133333333333,30
2540.266666666667,30
3159.3,30
2462.866666666667,30
2740.0666666666666,30
2423.9666666666667,30
2242.5666666666666,30
2791.233333333333,30
2591.633333333333,30
2175.6,30
2450.4,30
2349.1666666666665,30
2621.8,30
2578.5666666666666,30
2906,30
2060.6666666666665,30
2342.9333333333334,30
2835.9,30
2658.5,30
2127.766666666667,30
3185,30
2730.8333333333335,30
2332.4,30
2122.8,30
2096,30
2606.9333333333334,30
3138.4666666666667,30
3120.3333333333335,30
2685.4,30
2473.4333333333334,30
2426.4666666666667,30
3179.8,30
2520.8,30
3007.1,30
2464.7,30
2717.3333333333335,30
3031,30
2671.0666666666666,30
2675.5666666666666,30
2188.733333333333,30
1884.9666666666667,30
2717.5666666666666,30
3308.8,30
3075.4666666666667,30
2056.9666666666667,30
2519.5666666666666,30
2884.4666666666667,30
2617.4333333333334,30
2507.8333333333335,30
2395.8,30
2510,30
2130.5,30
2418,30
1887.7333333333333,30
2371.366666666667,30
2424.9,30
2647.9333333333334,30
2851.9666666666667,30
2370.4,30
2572.6,30
2974.3333333333335,30
2908.5,30
2134.2,30
2662.8,30
2570.0666666666666,30
2288.5333333333333,30
2846.8,30
2062,30
3041.3,30
2423.633333333333,30
2558.633333333333,30
2108.233333333333,30
2333.0666666666666,30
2991.366666666667,30
2450.4333333333334,30
3192.0333333333333,30
2852.9,30
2407.5333333333333,30
3034.1,30
1981.8333333333333,30
3005.8,30
2374.5333333333333,30
2499.3333333333335,30
2761.766666666667,30
2398.9333333333334,30
2386.1,30
2435.6666666666665,30
2787.6666666666665,30
2233.633333333333,30
3275,30
2232.4,30
2680,30
2125.1,30
2487.5666666666666,30
2469.1,30
2703.733333333333,30
2472.9666666666667,30
2636.4,30
2543.9666666666667,30
2849.766666666667,30
2744.266666666667,30
2647.866666666667,30
2856.4333333333334,30
2623.2,30
3192.4666666666667,30
2607.4,30
2340.733333333333,30
2400,30
3105,30
2157.2,30
2965.8,30
2761.866666666667,30
2648.0333333333333,30
2373.0333333333333,30
