ril,location,mean_visits,petal_color,date_first_flw,node_first_flw,petal_area_mm,petal_perim_mm,asd_mm,protandry,stem_dia_mm,lwc,growth_rate
A70,GC,NA,white,101.4,18.2,48.868,40.7146,1.625,2.22,1.8703,0.8421,1.26
A70,SR,0,white,101.4,18.2,48.868,40.7146,1.625,2.22,1.8703,0.8421,1.26
A111,GC,NA,white,94.6,17,50.9151,39.3277,1.1,1.6,1.846,0.8477,1.144
A111,SR,0.0833,white,94.6,17,50.9151,39.3277,1.1,1.6,1.846,0.8477,1.144
B14,GC,NA,white,103,20.2,50.0144,41.4133,0.2,1.4,1.606,0.8637,0.528
B14,SR,1.7778,white,103,20.2,50.0144,41.4133,0.2,1.4,1.606,0.8637,0.528
B130,GC,NA,white,92.2,14,69.7938,46.6907,0.6,1,2.22,0.8041,0.352
B130,SR,1.6154,white,92.2,14,69.7938,46.6907,0.6,1,2.22,0.8041,0.352
A49,GC,NA,white,97.4,16.8,66.5704,56.456,0.4,2.4,2.116,0.8283,1.188
A49,SR,0.8333,white,97.4,16.8,66.5704,56.456,0.4,2.4,2.116,0.8283,1.188
A27,GC,NA,pink,98.4,18.6,87.4526,51.7872,2.2,3,2.1,0.8048,1.48
A27,SR,5.3333,pink,98.4,18.6,87.4526,51.7872,2.2,3,2.1,0.8048,1.48
B129,GC,NA,pink,93,15.6,83.5748,67.6576,1.3,3.2,2.082,0.8154,0.488
B129,SR,3,pink,93,15.6,83.5748,67.6576,1.3,3.2,2.082,0.8154,0.488
A115,GC,NA,pink,98.8,23.4,65.9741,46.1442,1,2.2,1.902,0.8246,0.968
A115,SR,1.4,pink,98.8,23.4,65.9741,46.1442,1,2.2,1.902,0.8246,0.968
A12,GC,NA,pink,99.3446,21.6345,58.8704,42.5948,0.3,2.4,1.862,0.8121,1.7993
A12,SR,1.4167,pink,99.3446,21.6345,58.8704,42.5948,0.3,2.4,1.862,0.8121,1.7993
B137,GC,NA,white,97.6,17.8,78.7616,51.2417,1.2,1.6,1.952,0.829,1
B137,SR,0.4,white,97.6,17.8,78.7616,51.2417,1.2,1.6,1.952,0.829,1
B47,GC,NA,pink,92.6,17.2,57.6288,43.0562,0.8,1,2.002,0.8233,1.024
B47,SR,1,pink,92.6,17.2,57.6288,43.0562,0.8,1,2.002,0.8233,1.024
B104,GC,NA,pink,93,16.8,72.08,57.0018,0.4,2,1.76,0.8522,0.596
B104,SR,0.5,pink,93,16.8,72.08,57.0018,0.4,2,1.76,0.8522,0.596
A19,GC,NA,pink,99.8602,28.0537,42.3308,42.8622,2,1.7444,2.186,0.8046,1.912
A19,SR,0.5,pink,99.8602,28.0537,42.3308,42.8622,2,1.7444,2.186,0.8046,1.912
A64,GC,NA,white,97.2,18,42.4116,35.2262,0.1,0.4,1.998,0.857,1.16
A64,SR,0,white,97.2,18,42.4116,35.2262,0.1,0.4,1.998,0.857,1.16
B126,GC,NA,NA,95.2,15.2,97.3804,65.0098,3.3,4,1.958,0.8341,0.728
B126,SR,NA,NA,95.2,15.2,97.3804,65.0098,3.3,4,1.958,0.8341,0.728
B101,GC,NA,NA,100,19.8,87.5525,55.5029,1.3,1,1.896,0.8311,1.468
B101,SR,NA,NA,100,19.8,87.5525,55.5029,1.3,1,1.896,0.8311,1.468
A84,GC,NA,NA,97,22,56.983,50.396,1.4,2,2.296,0.8232,1.252
A84,SR,NA,NA,97,22,56.983,50.396,1.4,2,2.296,0.8232,1.252
B17,GC,NA,NA,98.6,20.8,62.3888,48.5957,0.4,1.8,2.066,0.8672,1.432
B17,SR,NA,NA,98.6,20.8,62.3888,48.5957,0.4,1.8,2.066,0.8672,1.432
B70,GC,NA,NA,102.4,26,53.4685,45.7377,1.3,1.4,1.966,0.8555,0.996
B70,SR,NA,NA,102.4,26,53.4685,45.7377,1.3,1.4,1.966,0.8555,0.996
A72,GC,NA,NA,96,19.6,41.5634,46.4824,0.9,1.4,2.002,0.8378,0.96
A72,SR,NA,NA,96,19.6,41.5634,46.4824,0.9,1.4,2.002,0.8378,0.96
B140,GC,NA,NA,95.2,19.6,46.5834,46.6418,0.1,0.4,2.3593,0.8513,1.412
B140,SR,NA,NA,95.2,19.6,46.5834,46.6418,0.1,0.4,2.3593,0.8513,1.412
B82,GC,NA,NA,92.4,16.8,40.05,40.524,0.46,1,1.812,0.8459,0.532
B82,SR,NA,NA,92.4,16.8,40.05,40.524,0.46,1,1.812,0.8459,0.532
B97,GC,NA,NA,95,19.4,41.4776,39.9394,0.3,0.8,2.02,0.8766,1.096
B97,SR,NA,NA,95,19.4,41.4776,39.9394,0.3,0.8,2.02,0.8766,1.096
B78,GC,NA,NA,93.8,17.4,55.7588,52.7346,1.6,2.2,2.214,0.8435,1.256
B78,SR,NA,NA,93.8,17.4,55.7588,52.7346,1.6,2.2,2.214,0.8435,1.256
