probCluster1,probCluster2,probCluster3,probCluster4,cluster,site,id,replicate,subspecies,date_flowered_std,avg_protandry,avg_herkogamy,mean_petal_area_sq_cm
2.1079753050119686e-82,1,NA,NA,2,S22,1046,N,X,13,4.5,4.5,1.686
3.564286782919537e-111,1,NA,NA,2,S22,1040,N,X,13,5,4,1.9745
1.052861567078008e-87,1,NA,NA,2,S22,185,N,X,13,5.5,5,1.632
3.2197808978650657e-127,1,NA,NA,2,S22,1042,N,X,13,6.5,10,1.52
0.9999999996460365,3.5396361829678526e-10,NA,NA,1,S22,1057,N,P,14,0,1.25,0.311
1.6196065354390236e-33,1,NA,NA,2,S22,191,N,X,14,3.5,2.5,1.2025
2.1830907459718892e-59,1,NA,NA,2,S22,1047,N,X,14,3.5,3.5,1.5305
8.956000115283377e-178,1,NA,NA,2,S22,1030,N,X,14,6,6.5,2.3615
9.268844806585056e-98,1,NA,NA,2,S22,193,N,X,14,6,4,1.7525
2.982938288918748e-31,1,NA,NA,2,S22,214,N,X,15,2,2.5,1.2645
1.1762379940185197e-96,1,NA,NA,2,S22,208,N,X,15,4,4,1.8955
7.330633385458445e-83,1,NA,NA,2,S22,180,N,X,15,5.5,4.5,1.6025
2.2278152259906904e-95,1,NA,NA,2,S22,1044,N,X,15,6,6,1.601
0.9999999999090692,9.09307291062128e-11,NA,NA,1,S22,1010,N,P,16,0.5,1,0.1845
8.739732282711437e-146,1,NA,NA,2,S22,201,N,X,16,3.5,7.5,2.1790000000000003
0.9999999990782784,9.217214922475054e-10,NA,NA,1,S22,1015,N,P,18,0.5,1,0.33399999999999996
0.9999999998788356,1.2116430529192224e-10,NA,NA,1,S22,167,N,P,18,1,0,0.2005
2.1462071230181927e-78,1,NA,NA,2,S22,222,N,X,18,4,5,1.642
3.1873445780396557e-80,1,NA,NA,2,S22,189,N,X,18,4,6.5,1.5525
7.612523297786114e-82,1,NA,NA,2,S22,187,N,X,18,4.5,3.5,1.724
0.9999999921557104,7.844289548661495e-9,NA,NA,1,S22,174,N,P,19,1.5,0,0.32999999999999996
5.2297834287314235e-95,1,NA,NA,2,S22,175,N,X,19,5,4.5,1.782
1.06067590880668e-106,1,NA,NA,2,S22,221,N,X,19,5.5,8,1.606
2.684471715098791e-90,1,NA,NA,2,S22,1055,N,X,20,4.5,7.5,1.5443333333333331
0.999999999729434,2.705659265608798e-10,NA,NA,1,S22,1013,N,P,21,1,0,0.236
0.999989924078085,1.0075921914967223e-5,NA,NA,1,S22,171,N,P,21,1.5,0,0.5235000000000001
3.474946613603524e-94,1,NA,NA,2,S22,1026,N,X,21,6,5.5,1.618
0.9999999712771294,2.8722870674101983e-8,NA,NA,1,S22,168,N,P,22,1,0.5,0.419
0.999999999918205,8.179492243861329e-11,NA,NA,1,S22,1014,N,P,23,0.5,0,0.2125
0.9999999963969706,3.6030294549753052e-9,NA,NA,1,S22,166,N,P,23,1,1,0.291
2.2908851821391895e-115,1,NA,NA,2,S22,1036,N,X,23,3.5,6,1.9955
2.364392832511677e-109,1,NA,NA,2,S22,1039,N,X,23,6.5,8,1.525
3.1470609562604174e-125,1,NA,NA,2,S22,200,N,X,23,8,4.5,1.7945000000000002
2.123986409691735e-99,1,NA,NA,2,S22,1035,N,X,24,4,5.5,1.8385
1.663450359761453e-115,1,NA,NA,2,S22,1023,N,X?,24,4.5,4.5,2.0195
8.497244954333219e-106,1,NA,NA,2,S22,1048,N,X,24,6,3.5,1.8515
0.9999999998580129,1.419870946510444e-10,NA,NA,1,S22,182,N,P,25,0,0.5,0.242
3.3843050963738602e-59,1,NA,NA,2,S22,206,N,X,26,3.5,4,1.49
4.494181873447451e-103,1,NA,NA,2,S22,218,N,X,26,6.5,6,1.628
2.102546653058584e-120,1,NA,NA,2,S22,184,N,X,27,4,6,2.014
1.0662590711427398e-122,1,NA,NA,2,S22,216,N,X,27,7,6.5,1.7565
5.7387968270544e-153,1,NA,NA,2,S22,197,N,X,27,7,9.5,1.809
0.999999999079886,9.201138997149639e-10,NA,NA,1,S22,1002,N,P,28,0,1.25,0.15849999999999995
1.6770569048153224e-149,1,NA,NA,2,S22,179,N,X,28,4,6.5,2.2425
2.4193947874323774e-207,1,NA,NA,2,S22,1027,N,X,28,6,8,2.4924999999999997
1.4630755629919936e-167,1,NA,NA,2,S22,1022,N,X,28,6,9.5,2.0475
1.4187977735702413e-157,1,NA,NA,2,S22,1029,N,X,29,3.5,5.5,2.382
1.60729709282385e-127,1,NA,NA,2,S22,1050,N,X,29,5.5,4.5,2.059
7.976459528419839e-174,1,NA,NA,2,S22,199,N,X,29,6,9,2.1475
0.9999999998576978,1.4230208406872113e-10,NA,NA,1,S22,1012,N,P,30,0,0,0.148
1.434786326681438e-128,1,NA,NA,2,S22,220,N,X,30,5,5.5,2.0545
5.39196150052209e-169,1,NA,NA,2,S22,203,N,X,30,6,4,2.393
8.612840594766832e-132,1,NA,NA,2,S22,205,N,X,30,6,6,1.9795
