"","chrom","ind","taxa","site","subsp","cutoff0.9","weighted","ind2","Tag","lat","lon","ele","distance2hetero","id","replicate","uniqueID","fl_1_open","fl_1_anthers","fl_1_stigma","fl_1_protandry","fl_1_herkogamy","fl_2_open","fl_2_anthers","fl_2_stigma","fl_2_protandry","fl_2_herkogamy","node","date_flowered","avg_protandry","avg_herkogamy","notes","date_flowered_std","mean_petal_area_sq_cm","number_petals_measured","petal_color"
"290","whole_genome","SM-1107p","SM_p","SM","P",0.0055228752143687,0.0176386492783345,"1107","SM-1107-P",35.603977,-118.415373,1087.316528,23.1218541427482,1107,"N","SM-1107","3/2/20","3/2/20","3/2/20",0,1,"3/2/20","3/2/20","3/2/20",0,1,20,"3/2/20",0,1,NA,0,NA,NA,NA
"291","whole_genome","SM-1108p","SM_p","SM","P",0.00470876126209633,0.0179699182422796,"1108","SM-1108-P",35.603986,-118.41539,1089.376709,24.2862213974856,1108,"N","SM-1108","3/3/20","3/3/20","3/3/20",0,1,"3/3/20","3/3/20","3/3/20",0,1,15,"3/3/20",0,1,NA,1,NA,NA,NA
"292","whole_genome","SM-1109p","SM_p","SM","P",0.00501661406317972,0.0186414053781412,"1109","SM-1109-P",35.603922,-118.415399,1093.727173,27.8793852696122,1109,"N","SM-1109","3/3/20","3/3/20","3/3/20",0,1.5,"3/3/20","3/3/20","3/3/20",0,1,16,"3/3/20",0,1.25,NA,1,NA,NA,NA
"293","whole_genome","SM-1110p","SM_p","SM","P",0.0061766009306448,0.0190954791698865,"1110","SM-1110-P",35.603928,-118.41544,1094.583008,30.8197124596134,1110,"N","SM-1110","3/7/20","3/7/20","3/7/20",0,1,"3/7/20","3/7/20","3/7/20",0,2,17,"3/7/20",0,1.5,NA,5,NA,NA,NA
"294","whole_genome","SM-1111p","SM_p","SM","P",0.0065192268262223,0.0221029268392725,"1111","SM-1111-P",35.60388,-118.415923,1102.343018,62.9662037332321,1111,"N","SM-1111","3/12/20","3/12/20","3/13/20",1,0.5,"3/13/20","3/13/20","3/13/20",0,0.5,16,"3/12/20",0.5,0.5,NA,10,0.2505,2,"white"
"295","whole_genome","SM-1112p","SM_p","SM","P",0.00702747864834757,0.0218776220366439,"1112","SM-1112-P",35.603858,-118.415913,1104.063965,63.6358377093222,1112,"N","SM-1112","3/13/20","3/13/20","3/14/20",1,2,"3/14/20","3/14/20","3/15/20",1,1,12,"3/13/20",1,1.5,NA,11,0.384,2,"white"
"296","whole_genome","SM-1113p","SM_p","SM","P",0.006973799370589,0.0227031780302932,"1113","SM-1113-P",35.603867,-118.415943,1102.963989,62.5540275875689,1113,"N","SM-1113","3/13/20","3/13/20","3/13/20",0,2,"3/13/20","3/13/20","3/14/20",1,2,13,"3/13/20",0.5,2,NA,11,0.2455,2,"white"
"297","whole_genome","SM-1114p","SM_p","SM","P",0.00628669959921708,0.0207154093846134,"1114","SM-1114-P",35.60388,-118.416221,1106.153442,39.3450662390329,1114,"N","SM-1114","3/3/20","3/3/20","3/3/20",0,1,"3/4/20","3/4/20","3/4/20",0,2,15,"3/3/20",0,1.5,NA,1,NA,NA,NA
"298","whole_genome","SM-1115x","SM_x","SM","X",0.0192325128065642,0.0754068985489926,"1115","SM-1115-X",35.60396,-118.416562,1114.830322,25.7673932089948,1115,"N","SM-1115","4/14/20","4/14/20","na",NA,NA,"4/15/20","4/16/20","na",NA,NA,19,"4/14/20",NA,NA,NA,43,1.5905,2,"pink"
"299","whole_genome","SM-1117p","SM_p","SM","P",0.00537225003018118,0.0192211501650433,"1117","SM-1117-P",35.603852,-118.416671,1114.587769,8.87133044852605,1117,"N","SM-1117","3/9/20","3/9/20","3/9/20",0,0.5,"3/9/20","3/9/20","3/9/20",0,2,22.5,"3/9/20",0,1.25,NA,7,0.325,2,"pink"
