site,id,replicate,uniqueID,subspecies,node,date_flowered,avg_protandry,avg_herkogamy,avg_petal_area,lat,lon,ele
S6,337,N,S6-337-N,X,13,12/4/21,6,2,0.839,35.97191101871431,-118.485832,1183.911743
S6,338,N,S6-338-N,X,10,12/7/21,7,6.75,1.0619999999999998,35.97079798579216,-118.485235,1173.034546
S6,339,N,S6-339-N,X,9,11/17/21,6.5,6,1.0154999999999998,35.970804020762444,-118.485172,1173.473389
S6,340,N,S6-340-N,X,13,12/3/21,6,2.5,1.041,35.97082103602588,-118.485135,1173.984619
S6,341,N,S6-341-N,X,7,11/24/21,5,8.5,0.7945,35.970826987177134,-118.485158,1174.844116
S6,273,N,S6-273-N,X,10,11/21/21,1,0.5,0.65,35.98891203291714,-118.480306,1180.124512
SAW,79,N,SAW-79,P,20,12/21/19,0,0,NA,35.67817,-118.481264,997.476013
SAW,73,N,SAW-73,P,21,12/23/19,0,0,0.34945000000000004,35.678378,-118.48105,992.031738
SAW,84,N,SAW-84,P,15,12/23/19,0,0,NA,35.678267,-118.481019,996.275635
SAW,97,N,SAW-97,P,16,12/23/19,0,1,0.27320500000000003,35.678958,-118.47322,898.06842
SAW,85,N,SAW-85,P,17,12/24/19,0,0.5,0.27341,35.678269,-118.48101,996.122375
SAW,86,N,SAW-86,P,17,12/24/19,0,0,0.21640500000000001,35.678294,-118.481022,996.203857
SAW,83,N,SAW-83,P,12,12/24/19,0,0,0.15718,35.678286,-118.481081,996.754578
SAW,81,N,SAW-81,P,15,12/24/19,0,0.5,0.181985,35.678189,-118.481217,999.12439
SAW,75,N,SAW-75,P,19,12/24/19,0.5,0,0.337565,35.678354,-118.48113,994.004822
SAW,74,N,SAW-74,P,17,12/24/19,1,0.25,0.22062500000000002,35.678368,-118.481106,992.335632
SAW,77,N,SAW-77,P,18,12/25/19,0,0.5,0.30107,35.678334,-118.481174,994.087463
SAW,76,N,SAW-76,P,33,12/25/19,0,0.25,0.25609499999999996,35.678335,-118.481139,993.555664
SAW,98,N,SAW-98,P,26,12/26/19,0,1.5,0.254585,35.678931,-118.473133,894.502563
SAW,66,N,SAW-66,P,17,12/26/19,0.5,0.75,0.178635,35.6802,-118.473808,903.58252
SAW,69,N,SAW-69,P,18,12/26/19,0.5,0,NA,35.678397,-118.480953,989.459106
SAW,30,N,SAW-30,P,25,12/27/19,0,2,0.28881999999999997,35.68094,-118.473317,896.491089
SAW,31,N,SAW-31,P,21,12/27/19,0.5,0,0.172175,35.68096,-118.473313,895.432312
SAW,103,N,SAW-103,P,24,12/28/19,0,0,0.16149,35.679057,-118.473419,900.090637
SAW,107,N,SAW-107,P,27,12/29/19,0,0,NA,35.679014,-118.473596,903.411804
SAW,105,N,SAW-105,P,21,12/30/19,0,1.25,0.19342,35.67906,-118.473539,899.53479
SAW,37,N,SAW-37,P,21,12/30/19,0.5,1,0.215615,35.681005999999996,-118.473366,895.767761
SAW,65,N,SAW-65,P,29,12/30/19,1.5,0,0.19332,35.680211,-118.473791,903.30249
SAW,164,N,SAW-164,X,13,12/30/19,2,2.5,NA,35.6791,-118.474294,910.825073
SAW,36,N,SAW-36,P,21,12/31/19,0.5,0,0.18557,35.680956,-118.473367,896.292786
SAW,122,N,SAW-122,P,22,12/31/19,0.5,0,0.19440000000000002,35.67919,-118.473698,894.600037
SAW,67,N,SAW-67,P,23,12/31/19,1,0,0.25238,35.680188,-118.473737,900.388062
SAW,8,N,SAW-8,P,25,12/31/19,1,0.25,0.15363,35.680977,-118.473282,889.434204
SAW,24,N,SAW-24,P,22.5,12/31/19,1,1,0.15861,35.681007,-118.473603,901.385376
SAW,12,N,SAW-12,P,25,12/31/19,1,0,0.143735,35.681116,-118.473575,891.473022
SAW,113,N,SAW-113,P,20,1/1/20,0,0.5,0.170005,35.679024,-118.473642,903.277649
SAW,34,N,SAW-34,P,25,1/1/20,0.5,0,0.160025,35.680987,-118.473315,895.004822
SAW,123,N,SAW-123,P,16,1/1/20,0.5,1.5,0.22714,35.679121,-118.473657,896.574402
SAW,7,N,SAW-7,P,28,1/1/20,1,NA,NA,35.681027,-118.473337,888.803955
SAW,4,N,SAW-4,P,22,1/1/20,1,0.5,0.214785,35.681061,-118.473352,889.546387
SAW,6,N,SAW-6,P,27,1/2/20,0,0.25,0.13993499999999998,35.681033,-118.473341,888.97106900000006
SAW,104,N,SAW-104,P,23.5,1/2/20,1,1.25,0.16925,35.679055,-118.473363,897.689331
SAW,27,N,SAW-27,P,21,1/3/20,1,0,0.18362499999999998,35.680957,-118.47347,900.192017
SAW,117,N,SAW-117,X,19,1/3/20,1.5,3.5,1.43262,35.67911,-118.473866,901.66156
SAW,133,N,SAW-133,X,21,1/3/20,2,3.5,1.43586,35.679714,-118.474119,901.943665
SAW,163,N,SAW-163,X,19,1/3/20,2.5,4.5,1.9435949999999997,35.678887,-118.474097,913.943604
